Name,Description,File Name,Quantity
Battery_18650_002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
Battery_18650_003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_WaveshareUPS.FCStd,2
65375-SIP-M2-6-A2,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,5
WagoConnectorHousing,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
9243-SPP-M2-8-A2,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,3
504849-HPS-4-2.2-5-POM-BL,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,6
7903-HPN-M2-A4,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,9
464633-HHTPS-M2-4-5-SS,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,2
464707-HHTPS-M3-5-40-S-Z,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
464707-HHTPS-M3-5-40-S-Z001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
464707-HHTPS-M3-5-40-S-Z002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
464707-HHTPS-M3-5-40-S-Z003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
PCBStack,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/Marlin_Core_OTS_SubAssembly_PowerPlate.FCStd,1
PCBStack,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Wings_SMD_Breakout,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,2
Board003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Open CASCADE STEP translator 7.5 1.1.002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
R30,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
7.07551e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
R28,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
C5,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.8986e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.8986e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.8986e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.8986e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
C4,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
6.89859e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
U1,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51346e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array012,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array001,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array002,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array003,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array004,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array005,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array006,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array007,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array008,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array009,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array010,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Array011,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
Body,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
J7,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51411e+12,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
J6,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
8.51346e+09,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-88904_MOULD,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
M20-889_CONTACT,,D:/Work/ArribadaInitiative/2026/cad-marlin-ots/CAD_INTERNAL/FREECAD_FILES/Assemblies/MARLIN_Core_OTS_SubAssembly_PCBStack.FCStd,1
